id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,lat,lon,location
"10226027","HY413424","2015-09-07T00:30:00.000","056XX S PRINCETON AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0711","007","3","68","03","1175249","1867534","2015","2018-02-10T15:50:01.000","41.79189192","-87.632926845","
,  
(41.79189192, -87.632926845)"
"10226038","HY413422","2015-09-06T23:50:00.000","040XX W CARROLL AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1114","011","28","26","03","1149486","1901931","2015","2018-02-10T15:50:01.000","41.886818932","-87.726504928","
,  
(41.886818932, -87.726504928)"
"10226101","HY413430","2015-09-06T02:00:00.000","009XX W ROSCOE ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1924","019","44","6","03","1169348","1922759","2015","2018-02-10T15:50:01.000","41.943563532","-87.652959761","
,  
(41.943563532, -87.652959761)"
"10226911","HY414437","2015-09-07T18:30:00.000","119XX S PRAIRIE AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0532","005","9","53","03","1180054","1825858","2015","2018-02-10T15:50:01.000","41.6774192","-87.616580541","
,  
(41.6774192, -87.616580541)"
"10228273","HY415917","2015-09-08T19:00:00.000","053XX S SPAULDING AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","ALLEY","true","false","0822","008","14","63","03","1155284","1869124","2015","2018-02-10T15:50:01.000","41.796678128","-87.706092859","
,  
(41.796678128, -87.706092859)"
"10230127","HY417534","2015-09-10T03:05:00.000","049XX W DAKIN ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1634","016","45","15","03","1142809","1925796","2015","2018-02-10T15:50:01.000","41.952433941","-87.750429233","
,  
(41.952433941, -87.750429233)"
"10232465","HY418913","2015-09-11T04:00:00.000","008XX W WILLOW ST","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","1813","018","43","7","03","1170603","1911931","2015","2018-02-10T15:50:01.000","41.913823574","-87.648664814","
,  
(41.913823574, -87.648664814)"
"10233000","HY421032","2015-09-12T22:45:00.000","022XX S WABASH AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0131","001","2","33","03","1177095","1889590","2015","2018-02-10T15:50:01.000","41.852373967","-87.625491648","
,  
(41.852373967, -87.625491648)"
"10233937","HY421587","2015-09-13T11:50:00.000","007XX S STATE ST","0325","ROBBERY","VEHICULAR HIJACKING","PARKING LOT/GARAGE(NON.RESID.)","false","false","0123","001","2","32","03","1176480","1896742","2015","2018-02-10T15:50:01.000","41.872013415","-87.627533053","
,  
(41.872013415, -87.627533053)"
"10233992","HY422377","2015-09-14T00:30:00.000","019XX S RIDGEWAY AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","ALLEY","false","false","1014","010","24","29","03","1151682","1889993","2015","2018-02-10T15:50:01.000","41.854016824","-87.71875445","
,  
(41.854016824, -87.71875445)"
