id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,Lat,Lon,location,geometry,index_right,pri_neigh,sec_neigh,shape_area,shape_len
10226027,HY413424,2015-09-07T00:30:00.000,056XX S PRINCETON AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,711,7,3,68,3,1175249.0,1867534.0,2015,2018-02-10T15:50:01.000,41.79189192,-87.632926845,"
,  
(41.79189192, -87.632926845)",POINT (-87.632926845 41.79189192),19.0,Englewood,ENGLEWOOD,173600015.009,56144.046048
10226038,HY413422,2015-09-06T23:50:00.000,040XX W CARROLL AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1114,11,28,26,3,1149486.0,1901931.0,2015,2018-02-10T15:50:01.000,41.886818932,-87.726504928,"
,  
(41.886818932, -87.726504928)",POINT (-87.726504928 41.886818932),5.0,Garfield Park,GARFIELD PARK,89976069.5947,44460.91922
10226101,HY413430,2015-09-06T02:00:00.000,009XX W ROSCOE ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1924,19,44,6,3,1169348.0,1922759.0,2015,2018-02-10T15:50:01.000,41.943563532,-87.652959761,"
,  
(41.943563532, -87.652959761)",POINT (-87.652959761 41.943563532),34.0,Lake View,LAKE VIEW,76561177.2562,69715.29313
10226911,HY414437,2015-09-07T18:30:00.000,119XX S PRAIRIE AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,532,5,9,53,3,1180054.0,1825858.0,2015,2018-02-10T15:50:01.000,41.6774192,-87.616580541,"
,  
(41.6774192, -87.616580541)",POINT (-87.616580541 41.6774192),16.0,West Pullman,WEST PULLMAN,99365198.0822,50023.843001
10228273,HY415917,2015-09-08T19:00:00.000,053XX S SPAULDING AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,ALLEY,True,False,822,8,14,63,3,1155284.0,1869124.0,2015,2018-02-10T15:50:01.000,41.796678128,-87.706092859,"
,  
(41.796678128, -87.706092859)",POINT (-87.706092859 41.796678128),85.0,Gage Park,"MARQUETTE PARK,GAGE PARK",61284896.1132,32294.195911
10230127,HY417534,2015-09-10T03:05:00.000,049XX W DAKIN ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1634,16,45,15,3,1142809.0,1925796.0,2015,2018-02-10T15:50:01.000,41.952433941,-87.750429233,"
,  
(41.952433941, -87.750429233)",POINT (-87.750429233 41.952433941),44.0,Portage Park,PORTAGE PARK,110196097.139,46520.642138
10232465,HY418913,2015-09-11T04:00:00.000,008XX W WILLOW ST,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,1813,18,43,7,3,1170603.0,1911931.0,2015,2018-02-10T15:50:01.000,41.913823574,-87.648664814,"
,  
(41.913823574, -87.648664814)",POINT (-87.648664814 41.913823574),35.0,Lincoln Park,LINCOLN PARK,67401451.3717,61856.516472
10233000,HY421032,2015-09-12T22:45:00.000,022XX S WABASH AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,131,1,2,33,3,1177095.0,1889590.0,2015,2018-02-10T15:50:01.000,41.852373967,-87.625491648,"
,  
(41.852373967, -87.625491648)",POINT (-87.625491648 41.852373967),67.0,Near South Side,NEAR SOUTH SIDE,34252582.7003,26884.589204
10233937,HY421587,2015-09-13T11:50:00.000,007XX S STATE ST,325,ROBBERY,VEHICULAR HIJACKING,PARKING LOT/GARAGE(NON.RESID.),False,False,123,1,2,32,3,1176480.0,1896742.0,2015,2018-02-10T15:50:01.000,41.872013415,-87.627533053,"
,  
(41.872013415, -87.627533053)",POINT (-87.627533053 41.872013415),1.0,Printers Row,PRINTERS ROW,2162137.97139,6864.247156
10233992,HY422377,2015-09-14T00:30:00.000,019XX S RIDGEWAY AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,ALLEY,False,False,1014,10,24,29,3,1151682.0,1889993.0,2015,2018-02-10T15:50:01.000,41.854016824,-87.71875445,"
,  
(41.854016824, -87.71875445)",POINT (-87.71875445 41.854016824),6.0,North Lawndale,NORTH LAWNDALE,89487422.0244,44959.459663
10235632,HY423630,2015-09-14T22:00:00.000,051XX W WINONA ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1623,16,45,11,3,1141142.0,1933761.0,2015,2018-02-10T15:50:01.000,41.974321539,-87.756360096,"
,  
(41.974321539, -87.756360096)",POINT (-87.756360096 41.974321539),49.0,Jefferson Park,JEFFERSON PARK,64868161.6819,44011.95717
10236863,HY424321,2015-09-14T20:15:00.000,024XX W 23RD ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,CAR WASH,False,False,1034,10,25,31,3,1160555.0,1888669.0,2015,2018-02-10T15:50:01.000,41.850204743,-87.686223633,"
,  
(41.850204743, -87.686223633)",POINT (-87.686223633 41.850204743),76.0,Lower West Side,LOWER WEST SIDE,81550723.8231,43229.368807
