id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,Lat,Lon,location,geometry,index_right,pri_neigh,sec_neigh,shape_area,shape_len
10000182,HY190084,2015-03-18 23:35:00,023XX W 47TH ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,924,9,12,61,3,1161542.0,1873450.0,2015,2018-02-10T15:50:01.000,41.808421621,-87.683023997,"
,  
(41.808421621, -87.683023997)",POINT (-87.683023997 41.808421621),18.0,New City,BACK OF THE YARDS,134636963.254,48133.595961
12012068,JD189121,2020-03-18 00:03:00,043XX W WEST END AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1114,11,28,26,3,1147266.0,1900617.0,2020,2020-03-25T15:47:29.000,41.883255958,-87.734691097,"
,  
(41.883255958, -87.734691097)",POINT (-87.734691097 41.883255958),5.0,Garfield Park,GARFIELD PARK,89976069.5947,44460.91922
10366330,HZ102341,2016-01-03 05:53:00,078XX S COLES AVE,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,421,4,7,43,3,1197685.0,1853492.0,2016,2018-02-10T15:50:01.000,41.752828771,-87.551127789,"
,  
(41.752828771, -87.551127789)",POINT (-87.551127789 41.752828771),59.0,South Shore,"SOUTH SHORE, GRAND CROSSING",81812716.3904,44249.645178
10366894,HZ102963,2016-01-03 18:41:00,008XX N HARDING AVE,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,1112,11,27,23,3,1149905.0,1905233.0,2016,2018-02-10T15:50:01.000,41.895871827,-87.72488025,"
,  
(41.895871827, -87.72488025)",POINT (-87.72488025 41.895871827),4.0,Humboldt Park,HUMBOLDT PARK,125010425.593,46126.751351
10366970,HZ103049,2016-01-03 20:13:00,072XX S HARDING AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,833,8,13,65,3,1151281.0,1856512.0,2016,2018-02-10T15:50:01.000,41.762148034,-87.7211017,"
,  
(41.762148034, -87.7211017)",POINT (-87.7211017 41.762148034),87.0,West Lawn,WEST LAWN,82315301.6831,41934.490131
10367056,HZ102149,2016-01-02 22:15:00,019XX S SPAULDING AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1024,10,24,29,3,1154669.0,1890351.0,2016,2018-02-10T15:50:01.000,41.854940027,-87.707781367,"
,  
(41.854940027, -87.707781367)",POINT (-87.707781367 41.854940027),6.0,North Lawndale,NORTH LAWNDALE,89487422.0244,44959.459663
10367164,HZ100458,2016-01-01 02:00:00,071XX S SEELEY AVE,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,735,7,17,67,3,1163925.0,1857405.0,2016,2018-02-10T15:50:01.000,41.764342258,-87.674734457,"
,  
(41.764342258, -87.674734457)",POINT (-87.674734457 41.764342258),19.0,Englewood,ENGLEWOOD,173600015.009,56144.046048
10367209,HZ102584,2016-01-03 12:45:00,013XX S KEDVALE AVE,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,1011,10,24,29,3,1148933.0,1893369.0,2016,2018-02-10T15:50:01.000,41.863334532,-87.728757179,"
,  
(41.863334532, -87.728757179)",POINT (-87.728757179 41.863334532),6.0,North Lawndale,NORTH LAWNDALE,89487422.0244,44959.459663
10369089,HZ105094,2016-01-05 16:10:00,039XX W JACKSON BLVD,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,1132,11,28,26,3,1150257.0,1898399.0,2016,2018-02-10T15:50:01.000,41.877111742,-87.723765716,"
,  
(41.877111742, -87.723765716)",POINT (-87.723765716 41.877111742),5.0,Garfield Park,GARFIELD PARK,89976069.5947,44460.91922
10369092,HZ105146,2016-01-05 16:40:00,029XX W HARRISON ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1135,11,2,27,3,1156773.0,1897224.0,2016,2018-02-10T15:50:01.000,41.873757942,-87.699872586,"
,  
(41.873757942, -87.699872586)",POINT (-87.699872586 41.873757942),5.0,Garfield Park,GARFIELD PARK,89976069.5947,44460.91922
10369356,HZ105469,2016-01-05 21:30:00,093XX S PERRY AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,634,6,21,49,3,1177254.0,1842978.0,2016,2018-02-10T15:50:01.000,41.724462379,-87.626314925,"
,  
(41.724462379, -87.626314925)",POINT (-87.626314925 41.724462379),62.0,Roseland,"WASHINGTON HEIGHTS,ROSELAND",134313706.73,56632.795429
10370004,HZ105643,2016-01-06 07:30:00,080XX S FAIRFIELD AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,835,8,18,70,3,1159440.0,1851258.0,2016,2018-02-10T15:50:01.000,41.747567009,-87.69134135,"
,  
(41.747567009, -87.69134135)",POINT (-87.69134135 41.747567009),21.0,Ashburn,ASHBURN,135460337.208,54818.154632
10372095,HZ107958,2016-01-08 05:00:00,019XX N WHIPPLE ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,ALLEY,False,False,1421,14,35,22,3,1155559.0,1912697.0,2016,2018-02-10T15:50:01.000,41.91624179,-87.703913069,"
,  
(41.91624179, -87.703913069)",POINT (-87.703913069 41.91624179),13.0,Logan Square,LOGAN SQUARE,71256806.5518,36361.508518
10372266,HZ107999,2016-01-08 06:50:00,052XX W ADAMS ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1522,15,29,25,3,1141373.0,1898827.0,2016,2018-02-10T15:50:01.000,41.878454738,-87.756375019,"
,  
(41.878454738, -87.756375019)",POINT (-87.756375019 41.878454738),94.0,Austin,AUSTIN,170037750.826,55473.345911
10373428,HZ109538,2016-01-09 10:00:00,079XX S LOOMIS BLVD,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,612,6,21,71,3,1168378.0,1852067.0,2016,2018-02-10T15:50:01.000,41.74959935,-87.658566518,"
,  
(41.74959935, -87.658566518)",POINT (-87.658566518 41.74959935),70.0,Auburn Gresham,AUBURN GRESHAM,105065353.602,46757.721716
10373729,HZ109827,2016-01-09 15:00:00,019XX S PULASKI RD,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,ALLEY,False,False,1012,10,24,29,3,1150020.0,1890276.0,2016,2018-02-10T15:50:01.000,41.854825891,-87.724847322,"
,  
(41.854825891, -87.724847322)",POINT (-87.724847322 41.854825891),6.0,North Lawndale,NORTH LAWNDALE,89487422.0244,44959.459663
10374029,HZ110424,2016-01-10 03:45:00,017XX W FOSTER AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,PARKING LOT/GARAGE(NON.RESID.),False,False,2012,20,40,77,3,1163614.0,1934576.0,2016,2018-02-10T15:50:01.000,41.976112873,-87.673700783,"
,  
(41.976112873, -87.673700783)",POINT (-87.673700783 41.976112873),56.0,Uptown,UPTOWN,65095642.836,46972.790182
10374281,HZ110729,2016-01-10 11:45:00,006XX S KOSTNER AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,1131,11,24,26,3,1147147.0,1897021.0,2016,2018-02-10T15:50:01.000,41.87339039,-87.735220099,"
,  
(41.87339039, -87.735220099)",POINT (-87.735220099 41.87339039),5.0,Garfield Park,GARFIELD PARK,89976069.5947,44460.91922
