pri_neigh,2015,2016,2017,2018,2019,2020,2021,2022,tooltip_comparison_text,tooltip_comparison_text_color
Albany Park,0.0,8.0,8.0,5.0,2.0,8.0,9.0,5.0,4 fewer than,#009c1d
Andersonville,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2 more than,#cc281d
Archer Heights,1.0,1.0,0.0,2.0,0.0,3.0,8.0,7.0,1 fewer than,#009c1d
Armour Square,0.0,1.0,0.0,1.0,1.0,5.0,3.0,1.0,2 fewer than,#009c1d
Ashburn,2.0,5.0,5.0,9.0,2.0,5.0,11.0,14.0,3 more than,#cc281d
Auburn Gresham,15.0,13.0,21.0,15.0,18.0,24.0,36.0,51.0,15 more than,#cc281d
Austin,28.0,28.0,61.0,67.0,40.0,84.0,108.0,96.0,12 fewer than,#009c1d
Avalon Park,1.0,1.0,3.0,5.0,1.0,9.0,17.0,4.0,13 fewer than,#009c1d
Avondale,0.0,4.0,3.0,7.0,9.0,6.0,17.0,5.0,12 fewer than,#009c1d
Belmont Cragin,4.0,4.0,13.0,8.0,5.0,9.0,10.0,14.0,4 more than,#cc281d
Beverly,2.0,0.0,1.0,0.0,0.0,4.0,3.0,5.0,2 more than,#cc281d
Boystown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2 more than,#cc281d
Bridgeport,1.0,1.0,2.0,2.0,1.0,6.0,9.0,17.0,8 more than,#cc281d
Brighton Park,2.0,8.0,4.0,6.0,1.0,7.0,10.0,14.0,4 more than,#cc281d
Bucktown,0.0,2.0,5.0,3.0,1.0,7.0,13.0,8.0,5 fewer than,#009c1d
Burnside,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,3 fewer than,#009c1d
Calumet Heights,2.0,1.0,4.0,4.0,7.0,22.0,32.0,18.0,14 fewer than,#009c1d
Chatham,5.0,15.0,14.0,9.0,12.0,40.0,34.0,29.0,5 fewer than,#009c1d
Chicago Lawn,2.0,14.0,12.0,15.0,8.0,14.0,15.0,33.0,18 more than,#cc281d
Chinatown,2.0,1.0,6.0,0.0,4.0,4.0,9.0,19.0,10 more than,#cc281d
Clearing,1.0,0.0,1.0,1.0,0.0,1.0,6.0,1.0,5 fewer than,#009c1d
Douglas,2.0,5.0,14.0,7.0,5.0,12.0,14.0,15.0,1 more than,#cc281d
Dunning,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1 fewer than,#009c1d
East Side,0.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3 more than,#cc281d
East Village,0.0,2.0,4.0,1.0,2.0,5.0,8.0,5.0,3 fewer than,#009c1d
Edgewater,0.0,0.0,2.0,6.0,2.0,3.0,12.0,12.0,the same number as,black
Edison Park,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,the same number as,black
Englewood,21.0,35.0,17.0,22.0,22.0,49.0,38.0,85.0,47 more than,#cc281d
Fuller Park,1.0,4.0,5.0,2.0,3.0,7.0,3.0,5.0,2 more than,#cc281d
Gage Park,5.0,8.0,4.0,1.0,4.0,4.0,11.0,9.0,2 fewer than,#009c1d
Galewood,1.0,0.0,2.0,6.0,0.0,2.0,1.0,4.0,3 more than,#cc281d
Garfield Park,23.0,51.0,48.0,56.0,37.0,90.0,98.0,73.0,25 fewer than,#009c1d
Garfield Ridge,1.0,4.0,4.0,2.0,1.0,2.0,5.0,5.0,the same number as,black
Gold Coast,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3 fewer than,#009c1d
Grand Boulevard,6.0,6.0,6.0,3.0,6.0,18.0,27.0,19.0,8 fewer than,#009c1d
Grand Crossing,8.0,20.0,27.0,25.0,13.0,41.0,37.0,40.0,3 more than,#cc281d
Grant Park,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3 fewer than,#009c1d
Greektown,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,the same number as,black
Hegewisch,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1 fewer than,#009c1d
Hermosa,1.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,2 fewer than,#009c1d
Humboldt Park,11.0,21.0,32.0,35.0,19.0,40.0,56.0,54.0,2 fewer than,#009c1d
Hyde Park,1.0,4.0,10.0,6.0,2.0,8.0,19.0,14.0,5 fewer than,#009c1d
Irving Park,2.0,3.0,8.0,7.0,6.0,8.0,6.0,5.0,1 fewer than,#009c1d
Jackson Park,0.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,1 more than,#cc281d
Jefferson Park,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,the same number as,black
Kenwood,2.0,3.0,4.0,8.0,5.0,8.0,28.0,19.0,9 fewer than,#009c1d
Lake View,2.0,4.0,3.0,5.0,4.0,13.0,19.0,18.0,1 fewer than,#009c1d
Lincoln Park,2.0,2.0,4.0,6.0,7.0,4.0,11.0,17.0,6 more than,#cc281d
Lincoln Square,1.0,2.0,0.0,1.0,0.0,1.0,8.0,1.0,7 fewer than,#009c1d
"Little Italy, UIC",9.0,5.0,6.0,9.0,11.0,19.0,26.0,26.0,the same number as,black
Little Village,3.0,7.0,6.0,13.0,9.0,16.0,27.0,20.0,7 fewer than,#009c1d
Logan Square,1.0,6.0,10.0,13.0,6.0,9.0,12.0,21.0,9 more than,#cc281d
Loop,1.0,1.0,7.0,5.0,4.0,10.0,14.0,21.0,7 more than,#cc281d
Lower West Side,4.0,2.0,3.0,5.0,2.0,5.0,15.0,14.0,1 fewer than,#009c1d
Magnificent Mile,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1 fewer than,#009c1d
Mckinley Park,0.0,0.0,3.0,1.0,3.0,1.0,2.0,6.0,4 more than,#cc281d
Millenium Park,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,the same number as,black
Montclare,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1 more than,#cc281d
Morgan Park,2.0,2.0,6.0,4.0,2.0,8.0,6.0,6.0,the same number as,black
Mount Greenwood,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,the same number as,black
Museum Campus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,the same number as,black
Near South Side,1.0,1.0,6.0,0.0,4.0,9.0,9.0,15.0,6 more than,#cc281d
New City,4.0,9.0,7.0,5.0,4.0,10.0,19.0,33.0,14 more than,#cc281d
North Center,0.0,1.0,1.0,2.0,0.0,3.0,3.0,5.0,2 more than,#cc281d
North Lawndale,13.0,21.0,31.0,26.0,23.0,68.0,92.0,59.0,33 fewer than,#009c1d
North Park,0.0,0.0,1.0,3.0,2.0,2.0,2.0,4.0,2 more than,#cc281d
Norwood Park,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1 fewer than,#009c1d
O'Hare,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,the same number as,black
Oakland,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,1 more than,#cc281d
Old Town,0.0,0.0,5.0,1.0,1.0,4.0,5.0,7.0,2 more than,#cc281d
Portage Park,1.0,3.0,3.0,6.0,6.0,5.0,8.0,8.0,the same number as,black
Printers Row,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3 fewer than,#009c1d
Pullman,3.0,0.0,0.0,4.0,3.0,4.0,6.0,6.0,the same number as,black
River North,1.0,3.0,9.0,2.0,6.0,9.0,16.0,15.0,1 fewer than,#009c1d
Riverdale,2.0,1.0,0.0,4.0,2.0,1.0,3.0,12.0,9 more than,#cc281d
Rogers Park,1.0,4.0,0.0,4.0,4.0,4.0,9.0,12.0,3 more than,#cc281d
Roseland,4.0,14.0,29.0,17.0,16.0,31.0,34.0,31.0,3 fewer than,#009c1d
Rush & Division,0.0,0.0,2.0,1.0,0.0,2.0,4.0,3.0,1 fewer than,#009c1d
"Sauganash,Forest Glen",0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2 fewer than,#009c1d
Sheffield & DePaul,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,the same number as,black
South Chicago,3.0,0.0,15.0,9.0,10.0,16.0,19.0,15.0,4 fewer than,#009c1d
South Deering,2.0,5.0,3.0,3.0,3.0,8.0,8.0,7.0,1 fewer than,#009c1d
South Shore,11.0,10.0,42.0,10.0,22.0,29.0,50.0,42.0,8 fewer than,#009c1d
Streeterville,0.0,1.0,4.0,5.0,0.0,6.0,5.0,3.0,2 fewer than,#009c1d
Ukrainian Village,0.0,2.0,7.0,3.0,3.0,4.0,10.0,7.0,3 fewer than,#009c1d
United Center,2.0,10.0,8.0,7.0,7.0,17.0,19.0,14.0,5 fewer than,#009c1d
Uptown,1.0,6.0,3.0,7.0,3.0,7.0,12.0,8.0,4 fewer than,#009c1d
Washington Heights,3.0,13.0,14.0,8.0,9.0,18.0,15.0,25.0,10 more than,#cc281d
Washington Park,2.0,7.0,9.0,6.0,4.0,8.0,11.0,16.0,5 more than,#cc281d
West Elsdon,1.0,1.0,2.0,1.0,2.0,1.0,7.0,4.0,3 fewer than,#009c1d
West Lawn,0.0,3.0,3.0,4.0,0.0,2.0,6.0,14.0,8 more than,#cc281d
West Loop,0.0,3.0,16.0,7.0,3.0,14.0,21.0,26.0,5 more than,#cc281d
West Pullman,3.0,9.0,3.0,7.0,9.0,16.0,14.0,20.0,6 more than,#cc281d
West Ridge,2.0,4.0,5.0,6.0,3.0,14.0,18.0,4.0,14 fewer than,#009c1d
West Town,1.0,15.0,20.0,6.0,7.0,16.0,37.0,26.0,11 fewer than,#009c1d
Wicker Park,1.0,2.0,9.0,4.0,8.0,15.0,28.0,15.0,13 fewer than,#009c1d
Woodlawn,6.0,7.0,12.0,6.0,3.0,14.0,15.0,18.0,3 more than,#cc281d
Wrigleyville,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1 more than,#cc281d

